1508746784;STATUS;0;0;0.000000;NothingSpecial;NothingSpecial;
1508746784704;BUFFERING;0.000000%;
1508746785944;BUFFERING;0.000000%;
1508746785945;BUFFERING;4.000000%;
1508746785945;BUFFERING;8.000000%;
1508746785945;BUFFERING;12.000000%;
1508746785945;BUFFERING;16.000000%;
1508746785945;BUFFERING;20.000000%;
1508746785945;BUFFERING;25.000000%;
1508746785945;BUFFERING;29.000000%;
1508746785945;BUFFERING;33.000000%;
1508746785945;BUFFERING;37.000000%;
1508746785945;BUFFERING;41.000000%;
1508746785945;BUFFERING;45.000000%;
1508746785945;BUFFERING;50.000000%;
1508746785945;BUFFERING;54.000000%;
1508746785945;BUFFERING;58.000000%;
1508746785946;BUFFERING;62.000000%;
1508746785946;BUFFERING;66.000000%;
1508746785946;BUFFERING;70.000000%;
1508746785946;BUFFERING;75.000000%;
1508746785946;BUFFERING;79.000000%;
1508746785946;BUFFERING;83.000000%;
1508746785946;BUFFERING;87.000000%;
1508746785946;BUFFERING;91.000000%;
1508746785946;BUFFERING;95.000000%;
1508746785946;BUFFERING;100.000000%;
1508746785946;BUFFERING;100.000000%;
1508746786;STATUS;0;0;0.000000;Playing;Playing;
1508746788;STATUS;0;0;0.000000;Playing;Playing;
1508746789114;WARNING_EVENT;deferring start (103558 us);
1508746789114;WARNING_EVENT;deferring start (81806 us);
1508746789115;WARNING_EVENT;deferring start (59720 us);
1508746789116;WARNING_EVENT;deferring start (37387 us);
1508746789117;WARNING_EVENT;deferring start (14992 us);
1508746789118;WARNING_EVENT;starting late (-7166 us);
1508746789121;WARNING_EVENT;playback too early (-97965): down-sampling;
1508746790;STATUS;0;24;12.000000;Playing;Playing;
1508746792;STATUS;0;71;23.500000;Playing;Playing;
1508746794;STATUS;0;120;24.500000;Playing;Playing;
1508746796;STATUS;0;170;25.000000;Playing;Playing;
1508746798;STATUS;0;219;24.500000;Playing;Playing;
1508746800;STATUS;0;268;24.500000;Playing;Playing;
1508746802;STATUS;0;317;24.500000;Playing;Playing;
1508746804;STATUS;0;365;24.000000;Playing;Playing;
1508746806;STATUS;0;416;25.500000;Playing;Playing;
1508746808;STATUS;0;465;24.500000;Playing;Playing;
1508746810;STATUS;0;514;24.500000;Playing;Playing;
1508746812;STATUS;0;561;23.500000;Playing;Playing;
