1508747433;STATUS;0;0;0.000000;NothingSpecial;NothingSpecial;
1508747433784;BUFFERING;0.000000%;
1508747433970;BUFFERING;0.000000%;
1508747433971;BUFFERING;4.000000%;
1508747433971;BUFFERING;8.000000%;
1508747433971;BUFFERING;12.000000%;
1508747433971;BUFFERING;16.000000%;
1508747433971;BUFFERING;20.000000%;
1508747433971;BUFFERING;25.000000%;
1508747433971;BUFFERING;29.000000%;
1508747433972;BUFFERING;33.000000%;
1508747433972;BUFFERING;37.000000%;
1508747433972;BUFFERING;41.000000%;
1508747433972;BUFFERING;45.000000%;
1508747433972;BUFFERING;50.000000%;
1508747433972;BUFFERING;54.000000%;
1508747433972;BUFFERING;58.000000%;
1508747433972;BUFFERING;62.000000%;
1508747433972;BUFFERING;66.000000%;
1508747433972;BUFFERING;70.000000%;
1508747433972;BUFFERING;75.000000%;
1508747433972;BUFFERING;79.000000%;
1508747433972;BUFFERING;83.000000%;
1508747433972;BUFFERING;87.000000%;
1508747433973;BUFFERING;91.000000%;
1508747433973;BUFFERING;95.000000%;
1508747433973;BUFFERING;100.000000%;
1508747433973;BUFFERING;100.000000%;
1508747434214;WARNING_EVENT;deferring start (95122 us);
1508747434215;WARNING_EVENT;deferring start (73418 us);
1508747434215;WARNING_EVENT;deferring start (51451 us);
1508747434216;WARNING_EVENT;deferring start (29420 us);
1508747434217;WARNING_EVENT;deferring start (7363 us);
1508747434217;WARNING_EVENT;starting late (-14696 us);
1508747434218;WARNING_EVENT;playback too early (-91235): down-sampling;
1508747435076;ERROR_EVENT;picture is too late to be displayed (missing 728 ms);
1508747435076;ERROR_EVENT;picture is too late to be displayed (missing 686 ms);
1508747435076;ERROR_EVENT;picture is too late to be displayed (missing 644 ms);
1508747435077;ERROR_EVENT;picture is too late to be displayed (missing 604 ms);
1508747435083;ERROR_EVENT;picture is too late to be displayed (missing 568 ms);
1508747435100;ERROR_EVENT;picture is too late to be displayed (missing 543 ms);
1508747435141;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747435141;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747435160;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747435;STATUS;0;0;0.000000;Playing;Playing;
1508747437;STATUS;6;39;19.500000;Playing;Playing;
1508747439;STATUS;6;87;24.000000;Playing;Playing;
1508747441;STATUS;6;135;24.000000;Playing;Playing;
1508747443;STATUS;6;185;25.000000;Playing;Playing;
1508747445;STATUS;6;233;24.000000;Playing;Playing;
1508747447;STATUS;6;282;24.500000;Playing;Playing;
1508747449;STATUS;6;332;25.000000;Playing;Playing;
1508747451;STATUS;6;381;24.500000;Playing;Playing;
1508747453;STATUS;6;430;24.500000;Playing;Playing;
1508747455;STATUS;6;479;24.500000;Playing;Playing;
1508747457;STATUS;6;527;24.000000;Playing;Playing;
1508747459;STATUS;6;576;24.500000;Playing;Playing;
1508747461;STATUS;6;625;24.500000;Playing;Playing;
1508747463;STATUS;6;673;24.000000;Playing;Playing;
1508747465;STATUS;6;723;25.000000;Playing;Playing;
1508747467;STATUS;6;771;24.000000;Playing;Playing;
1508747469;STATUS;6;820;24.500000;Playing;Playing;
1508747471;STATUS;6;869;24.500000;Playing;Playing;
1508747473;STATUS;6;918;24.500000;Playing;Playing;
1508747475;STATUS;6;966;24.000000;Playing;Playing;
1508747477;STATUS;6;1015;24.500000;Playing;Playing;
1508747479;STATUS;6;1064;24.500000;Playing;Playing;
1508747481;STATUS;6;1113;24.500000;Playing;Playing;
1508747483;STATUS;6;1138;12.500000;Playing;Playing;
1508747485;STATUS;6;1186;24.000000;Playing;Playing;
1508747487;STATUS;6;1235;24.500000;Playing;Playing;
1508747489;STATUS;6;1284;24.500000;Playing;Playing;
1508747491;STATUS;6;1332;24.000000;Playing;Playing;
1508747493;STATUS;6;1381;24.500000;Playing;Playing;
1508747495;STATUS;6;1429;24.000000;Playing;Playing;
1508747497;STATUS;6;1477;24.000000;Playing;Playing;
1508747499;STATUS;6;1526;24.500000;Playing;Playing;
1508747501;STATUS;6;1574;24.000000;Playing;Playing;
1508747503;STATUS;6;1623;24.500000;Playing;Playing;
1508747505;STATUS;6;1672;24.500000;Playing;Playing;
1508747507;STATUS;6;1721;24.500000;Playing;Playing;
1508747509;STATUS;6;1769;24.000000;Playing;Playing;
1508747511;STATUS;6;1818;24.500000;Playing;Playing;
1508747513;STATUS;6;1866;24.000000;Playing;Playing;
1508747515;STATUS;6;1915;24.500000;Playing;Playing;
1508747517;STATUS;6;1964;24.500000;Playing;Playing;
1508747519;STATUS;6;2012;24.000000;Playing;Playing;
1508747521;STATUS;6;2061;24.500000;Playing;Playing;
1508747523;STATUS;6;2109;24.000000;Playing;Playing;
1508747525;STATUS;6;2157;24.000000;Playing;Playing;
1508747527;STATUS;6;2207;25.000000;Playing;Playing;
1508747529;STATUS;6;2256;24.500000;Playing;Playing;
1508747531;STATUS;6;2305;24.500000;Playing;Playing;
1508747533;STATUS;6;2353;24.000000;Playing;Playing;
1508747535;STATUS;6;2403;25.000000;Playing;Playing;
1508747537;STATUS;6;2450;23.500000;Playing;Playing;
1508747539;STATUS;6;2500;25.000000;Playing;Playing;
1508747541;STATUS;6;2548;24.000000;Playing;Playing;
1508747543;STATUS;6;2597;24.500000;Playing;Playing;
1508747545;STATUS;6;2646;24.500000;Playing;Playing;
1508747547;STATUS;6;2694;24.000000;Playing;Playing;
1508747549;STATUS;6;2743;24.500000;Playing;Playing;
1508747551;STATUS;6;2792;24.500000;Playing;Playing;
1508747552582;ERROR_EVENT;playback in danger of stalling;
1508747553;STATUS;12;2840;24.000000;Playing;Playing;
